county_and_age_group,Female,Male,Excess Females at age group
Carlow County Council 0-4,1736,1800,-64
Carlow County Council 10-14,2287,2400,-113
Carlow County Council 15-19,2114,2209,-95
Carlow County Council 20-24,1781,2000,-219
Carlow County Council 25-29,1626,1666,-40
Carlow County Council 30-34,1910,1804,106
Carlow County Council 35-39,2377,2153,224
Carlow County Council 40-44,2463,2444,19
Carlow County Council 45-49,2325,2227,98
Carlow County Council 5-9,2026,2063,-37
Carlow County Council 50-54,2060,2065,-5
Carlow County Council 55-59,1923,1883,40
Carlow County Council 60-64,1686,1636,50
Carlow County Council 65-69,1468,1443,25
Carlow County Council 70-74,1239,1242,-3
Carlow County Council 75-79,923,916,7
Carlow County Council 80-84,655,530,125
Carlow County Council 85-89,347,263,84
Carlow County Council 90-94,157,68,89
Carlow County Council 95-99,40,10,30
Cavan County Council 0-4,2515,2688,-173
Cavan County Council 10-14,3212,3350,-138
Cavan County Council 15-19,2752,2888,-136
Cavan County Council 20-24,2029,2203,-174
Cavan County Council 25-29,1912,1999,-87
Cavan County Council 30-34,2414,2273,141
Cavan County Council 35-39,3106,2870,236
Cavan County Council 40-44,3229,3105,124
Cavan County Council 45-49,2859,2830,29
Cavan County Council 5-9,2907,3080,-173
Cavan County Council 50-54,2695,2789,-94
Cavan County Council 55-59,2451,2590,-139
Cavan County Council 60-64,2192,2265,-73
Cavan County Council 65-69,1961,1998,-37
Cavan County Council 70-74,1591,1681,-90
Cavan County Council 75-79,1221,1178,43
Cavan County Council 80-84,744,712,32
Cavan County Council 85-89,556,419,137
Cavan County Council 90-94,226,117,109
Cavan County Council 95-99,60,19,41
Clare County Council 0-4,3650,3533,117
Clare County Council 10-14,4680,4720,-40
Clare County Council 15-19,4395,4527,-132
Clare County Council 20-24,3419,3539,-120
Clare County Council 25-29,3001,2991,10
Clare County Council 30-34,3459,3204,255
Clare County Council 35-39,4438,3974,464
Clare County Council 40-44,5092,4578,514
Clare County Council 45-49,4847,4619,228
Clare County Council 5-9,4067,4348,-281
Clare County Council 50-54,4710,4504,206
Clare County Council 55-59,4297,4157,140
Clare County Council 60-64,3745,3787,-42
Clare County Council 65-69,3307,3320,-13
Clare County Council 70-74,2964,2887,77
Clare County Council 75-79,2257,2157,100
Clare County Council 80-84,1359,1214,145
Clare County Council 85-89,845,634,211
Clare County Council 90-94,364,179,185
Clare County Council 95-99,109,42,67
Cork City Council 0-4,5629,5781,-152
Cork City Council 10-14,6493,6607,-114
Cork City Council 15-19,6671,6801,-130
Cork City Council 20-24,9084,8569,515
Cork City Council 25-29,8624,8667,-43
Cork City Council 30-34,8864,8466,398
Cork City Council 35-39,9007,8596,411
Cork City Council 40-44,8618,8397,221
Cork City Council 45-49,7359,7376,-17
Cork City Council 5-9,6126,6429,-303
Cork City Council 50-54,6813,6704,109
Cork City Council 55-59,6694,6448,246
Cork City Council 60-64,6195,5714,481
Cork City Council 65-69,4988,4726,262
Cork City Council 70-74,4385,4019,366
Cork City Council 75-79,3613,3085,528
Cork City Council 80-84,2632,1971,661
Cork City Council 85-89,1611,1003,608
Cork City Council 90-94,689,323,366
Cork City Council 95-99,153,48,105
Cork County Council 0-4,10645,11007,-362
Cork County Council 10-14,14209,14663,-454
Cork County Council 15-19,11936,12780,-844
Cork County Council 20-24,8365,9196,-831
Cork County Council 25-29,7774,7745,29
Cork County Council 30-34,10132,9136,996
Cork County Council 35-39,13355,11826,1529
Cork County Council 40-44,15271,14214,1057
Cork County Council 45-49,14069,13961,108
Cork County Council 5-9,12710,13368,-658
Cork County Council 50-54,12517,12724,-207
Cork County Council 55-59,11164,11553,-389
Cork County Council 60-64,9656,9987,-331
Cork County Council 65-69,8678,8758,-80
Cork County Council 70-74,7425,7452,-27
Cork County Council 75-79,5765,5389,376
Cork County Council 80-84,3658,3035,623
Cork County Council 85-89,2339,1677,662
Cork County Council 90-94,1057,541,516
Cork County Council 95-99,275,86,189
Donegal County Council 0-4,4873,4939,-66
Donegal County Council 10-14,6315,6645,-330
Donegal County Council 15-19,5474,5904,-430
Donegal County Council 20-24,4044,4328,-284
Donegal County Council 25-29,3744,3692,52
Donegal County Council 30-34,4772,4360,412
Donegal County Council 35-39,5635,5112,523
Donegal County Council 40-44,6386,5908,478
Donegal County Council 45-49,6040,5889,151
Donegal County Council 5-9,5495,5825,-330
Donegal County Council 50-54,5841,5794,47
Donegal County Council 55-59,5474,5272,202
Donegal County Council 60-64,5019,4681,338
Donegal County Council 65-69,4380,4500,-120
Donegal County Council 70-74,3894,3877,17
Donegal County Council 75-79,2992,3044,-52
Donegal County Council 80-84,1984,1832,152
Donegal County Council 85-89,1219,848,371
Donegal County Council 90-94,535,286,249
Donegal County Council 95-99,142,57,85
Dublin City Council 0-4,14042,14904,-862
Dublin City Council 10-14,14995,15306,-311
Dublin City Council 15-19,15088,15181,-93
Dublin City Council 20-24,23879,22028,1851
Dublin City Council 25-29,29694,29364,330
Dublin City Council 30-34,29466,29767,-301
Dublin City Council 35-39,25556,26139,-583
Dublin City Council 40-44,22909,23246,-337
Dublin City Council 45-49,18791,19117,-326
Dublin City Council 5-9,14473,14883,-410
Dublin City Council 50-54,17622,17493,129
Dublin City Council 55-59,16015,15562,453
Dublin City Council 60-64,14172,13653,519
Dublin City Council 65-69,11817,11066,751
Dublin City Council 70-74,10228,9055,1173
Dublin City Council 75-79,8276,6891,1385
Dublin City Council 80-84,6493,4460,2033
Dublin City Council 85-89,4603,2558,2045
Dublin City Council 90-94,2189,907,1282
Dublin City Council 95-99,529,196,333
Dún Laoghaire Rathdown County Council 0-4,6205,6449,-244
Dún Laoghaire Rathdown County Council 10-14,7259,7680,-421
Dún Laoghaire Rathdown County Council 15-19,7303,7151,152
Dún Laoghaire Rathdown County Council 20-24,8324,7696,628
Dún Laoghaire Rathdown County Council 25-29,7547,7383,164
Dún Laoghaire Rathdown County Council 30-34,7942,7467,475
Dún Laoghaire Rathdown County Council 35-39,8598,7871,727
Dún Laoghaire Rathdown County Council 40-44,9224,8574,650
Dún Laoghaire Rathdown County Council 45-49,8069,7615,454
Dún Laoghaire Rathdown County Council 5-9,7307,7403,-96
Dún Laoghaire Rathdown County Council 50-54,7635,6996,639
Dún Laoghaire Rathdown County Council 55-59,7468,6441,1027
Dún Laoghaire Rathdown County Council 60-64,6502,5833,669
Dún Laoghaire Rathdown County Council 65-69,5762,4980,782
Dún Laoghaire Rathdown County Council 70-74,5103,4242,861
Dún Laoghaire Rathdown County Council 75-79,4537,3605,932
Dún Laoghaire Rathdown County Council 80-84,3458,2554,904
Dún Laoghaire Rathdown County Council 85-89,2243,1440,803
Dún Laoghaire Rathdown County Council 90-94,1043,535,508
Dún Laoghaire Rathdown County Council 95-99,257,104,153
Fingal County Council 0-4,10277,10740,-463
Fingal County Council 10-14,13414,14302,-888
Fingal County Council 15-19,11296,11580,-284
Fingal County Council 20-24,9331,9766,-435
Fingal County Council 25-29,9166,9077,89
Fingal County Council 30-34,11546,10382,1164
Fingal County Council 35-39,14415,12795,1620
Fingal County Council 40-44,15653,14740,913
Fingal County Council 45-49,13683,13360,323
Fingal County Council 5-9,12322,12993,-671
Fingal County Council 50-54,10883,10734,149
Fingal County Council 55-59,8807,8365,442
Fingal County Council 60-64,7464,6871,593
Fingal County Council 65-69,6252,5616,636
Fingal County Council 70-74,5275,4685,590
Fingal County Council 75-79,3969,3448,521
Fingal County Council 80-84,2230,1897,333
Fingal County Council 85-89,1253,884,369
Fingal County Council 90-94,572,247,325
Fingal County Council 95-99,149,46,103
Galway City Council 0-4,1975,1995,-20
Galway City Council 10-14,2249,2351,-102
Galway City Council 15-19,2819,2571,248
Galway City Council 20-24,5171,4350,821
Galway City Council 25-29,3804,3730,74
Galway City Council 30-34,3478,3296,182
Galway City Council 35-39,3485,3153,332
Galway City Council 40-44,3311,3356,-45
Galway City Council 45-49,2920,2702,218
Galway City Council 5-9,2196,2266,-70
Galway City Council 50-54,2389,2275,114
Galway City Council 55-59,2195,1972,223
Galway City Council 60-64,1963,1718,245
Galway City Council 65-69,1773,1515,258
Galway City Council 70-74,1454,1219,235
Galway City Council 75-79,1207,951,256
Galway City Council 80-84,858,560,298
Galway City Council 85-89,460,312,148
Galway City Council 90-94,227,106,121
Galway City Council 95-99,61,13,48
Galway County Council 0-4,5696,6100,-404
Galway County Council 10-14,7295,7683,-388
Galway County Council 15-19,6420,6901,-481
Galway County Council 20-24,4233,4822,-589
Galway County Council 25-29,3893,3947,-54
Galway County Council 30-34,5286,4730,556
Galway County Council 35-39,6966,6248,718
Galway County Council 40-44,7982,7506,476
Galway County Council 45-49,7542,7265,277
Galway County Council 5-9,6691,7105,-414
Galway County Council 50-54,6812,6787,25
Galway County Council 55-59,6056,6140,-84
Galway County Council 60-64,5503,5552,-49
Galway County Council 65-69,4929,5024,-95
Galway County Council 70-74,4166,4241,-75
Galway County Council 75-79,3062,3071,-9
Galway County Council 80-84,2043,1997,46
Galway County Council 85-89,1344,1009,335
Galway County Council 90-94,661,321,340
Galway County Council 95-99,197,55,142
Kerry County Council 0-4,4076,4224,-148
Kerry County Council 10-14,5372,5459,-87
Kerry County Council 15-19,4842,5002,-160
Kerry County Council 20-24,3846,3937,-91
Kerry County Council 25-29,3496,3551,-55
Kerry County Council 30-34,4281,3990,291
Kerry County Council 35-39,5605,4855,750
Kerry County Council 40-44,6162,5825,337
Kerry County Council 45-49,5720,5625,95
Kerry County Council 5-9,4703,4922,-219
Kerry County Council 50-54,5451,5583,-132
Kerry County Council 55-59,5262,5147,115
Kerry County Council 60-64,5019,4936,83
Kerry County Council 65-69,4552,4547,5
Kerry County Council 70-74,3904,4019,-115
Kerry County Council 75-79,3048,3004,44
Kerry County Council 80-84,1928,1653,275
Kerry County Council 85-89,1140,813,327
Kerry County Council 90-94,516,254,262
Kerry County Council 95-99,136,39,97
Kildare County Council 0-4,7538,7943,-405
Kildare County Council 10-14,9644,10264,-620
Kildare County Council 15-19,8718,9252,-534
Kildare County Council 20-24,7158,7650,-492
Kildare County Council 25-29,6524,6428,96
Kildare County Council 30-34,8078,7315,763
Kildare County Council 35-39,10248,9266,982
Kildare County Council 40-44,10933,10516,417
