Administrative Counties,Female,Male
Carlow County Council,31146,30822
Cavan County Council,40644,41060
Clare County Council,65021,62917
Cork City Council,114268,109736
Cork County Council,181043,179109
Donegal County Council,84289,82795
Dublin City Council,300917,291796
Dún Laoghaire Rathdown County Council,121828,112032
Fingal County Council,167974,162532
Galway City Council,44000,40414
Galway County Council,96803,96520
Kerry County Council,79071,77387
Kildare County Council,124510,123264
Kilkenny County Council,52277,51883
Laois County Council,45599,46278
Leitrim County Council,17646,17553
Limerick City & County Council,105084,104452
Longford County Council,23302,23449
Louth County Council,70796,68907
Mayo  County Council,69578,68392
Meath County Council,110838,109988
Monaghan County Council,32394,32894
Offaly County Council,41522,41628
Roscommon County Council,35089,35170
Sligo County Council,35669,34529
South Dublin County Council,153829,147246
Tipperary County Council,84256,83639
Waterford City & County Council,64268,63095
Westmeath County Council,48500,47721
Wexford County Council,83142,80777
Wicklow County Council,79287,76564
